no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber,panjang_soal,panjang_jawaban,panjang_konteks,kata_soal,kata_jawaban,jenis_pertanyaan,kompleksitas
1,adaptasi makhluk hidup,adaptasi makhluk hidup,kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya disebut.,adaptasi adalah kemampuan makhluk hidup menyesuaikan diri dengan lingkungan supaya bisa bertahan hidup.,adaptasi membantu survival makhluk hidup,adaptasi terjadi dalam waktu lama,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,77,103,33,9,13,lainnya,Sedang
2,adaptasi makhluk hidup,adaptasi makhluk hidup,bentuk adaptasi yang berkaitan dengan fungsi organ internal adalah.,adaptasi fisiologis adalah penyesuaian kerja organ tubuh di dalam tubuh makhluk hidup.,racun produksi adalah adaptasi,adaptasi fisiologi tidak terlihat,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,67,86,33,9,12,lainnya,Sedang
3,adaptasi makhluk hidup,adaptasi makhluk hidup,bentuk adaptasi yang berkaitan dengan bentuk tubuh dan struktur fisik adalah.,adaptasi morfologi adalah penyesuaian bentuk tubuh atau bagian tubuh makhluk hidup.,warna kulit paruh kuku adalah adaptasi,adaptasi morfologi terlihat secara fisik,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,77,83,40,11,11,lainnya,Kompleks
4,adaptasi makhluk hidup,adaptasi makhluk hidup,bentuk adaptasi yang berkaitan dengan perilaku dan kebiasaan hewan adalah.,adaptasi tingkah laku adalah penyesuaian perilaku hewan agar sesuai dengan lingkungan hidupnya.,migrasi hibernasi berburu adalah adaptasi,adaptasi perilaku meningkatkan survival,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,74,95,39,10,12,lainnya,Sedang
5,adaptasi makhluk hidup,adaptasi makhluk hidup,hewan dengan paruh pipih yang digunakan menyaring makanan dari air adalah.,bebek memiliki paruh pipih untuk menyaring makanan dari air dan lumpur.,paruh pipih memiliki lamellae,angsa menyaring makanan dari air,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,74,71,32,11,11,lainnya,Kompleks
6,adaptasi makhluk hidup,adaptasi makhluk hidup,mengapa beruang kutub memiliki bulu tebal?,beruang kutub memiliki bulu tebal untuk menjaga tubuhnya tetap hangat di daerah yang sangat dingin.,"meskipun berada di daerah bersalju, beruang kutub tetap dapat bergerak aktif karena tubuhnya hangat.",bulu tebal membantu beruang kutub bertahan hidup di daerah kutub.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,42,99,65,6,15,mengapa,Mudah
7,adaptasi makhluk hidup,adaptasi makhluk hidup,kenapa beruang kutub memiliki bulu tebal?,bulu tebal pada beruang kutub berfungsi menahan panas tubuh agar tidak cepat hilang.,"meskipun berada di daerah bersalju, beruang kutub tetap dapat bergerak aktif karena tubuhnya hangat.",bulu tebal membantu beruang kutub bertahan hidup di daerah kutub.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,41,84,65,6,13,lainnya,Mudah
8,adaptasi makhluk hidup,adaptasi makhluk hidup,bagaimana beruang kutub memiliki bulu tebal?,beruang kutub beradaptasi dengan bulu tebal supaya tahan hidup di suhu kutub yang sangat rendah.,"meskipun berada di daerah bersalju, beruang kutub tetap dapat bergerak aktif karena tubuhnya hangat.",bulu tebal membantu beruang kutub bertahan hidup di daerah kutub.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,44,96,65,6,15,bagaimana,Mudah
9,adaptasi makhluk hidup,adaptasi makhluk hidup,hewan yang memiliki kemampuan menyesuaikan warna tubuhnya dengan lingkungan adalah.,bunglon dapat menyesuaikan warna tubuhnya dengan lingkungan agar sulit terlihat musuh.,bunglon bisa mengubah warna dalam detik,kamuflase adalah adaptasi bunglon,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/,83,86,33,10,11,lainnya,Sedang
10,adaptasi makhluk hidup,adaptasi makhluk hidup,apa fungsi cangkang pada kura-kura?,cangkang kura-kura berfungsi melindungi tubuhnya dari musuh dan benturan.,"ketika ada ancaman, kura-kura bisa menarik tubuhnya ke dalam cangkang.",cangkang adalah bentuk perlindungan diri yang sangat efektif bagi kura-kura.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,35,73,76,5,9,apa,Mudah
11,adaptasi makhluk hidup,adaptasi makhluk hidup,apa itu cangkang pada kura-kura?,cangkang adalah bagian keras yang menutupi tubuh kura-kura sebagai pelindung.,"ketika ada ancaman, kura-kura bisa menarik tubuhnya ke dalam cangkang.",cangkang adalah bentuk perlindungan diri yang sangat efektif bagi kura-kura.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,32,77,76,5,10,apa,Mudah
12,adaptasi makhluk hidup,adaptasi makhluk hidup,apa yang dimaksud dengan cangkang pada kura-kura?,cangkang kura-kura merupakan pelindung keras yang menjaga tubuhnya tetap aman.,"ketika ada ancaman, kura-kura bisa menarik tubuhnya ke dalam cangkang.",cangkang adalah bentuk perlindungan diri yang sangat efektif bagi kura-kura.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,49,78,76,7,10,apa,Sedang
13,adaptasi makhluk hidup,adaptasi makhluk hidup,mengapa kaktus memiliki daun berbentuk duri?,daun kaktus berubah menjadi duri untuk mengurangi penguapan air di tempat yang kering.,kaktus tetap bisa hidup di gurun yang panas karena air disimpan di batangnya.,duri pada kaktus adalah adaptasi agar tumbuhan tetap bertahan di tempat kering.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,44,86,79,6,13,mengapa,Mudah
14,adaptasi makhluk hidup,adaptasi makhluk hidup,kenapa kaktus memiliki daun berbentuk duri?,kaktus memiliki duri agar air di tubuhnya tidak cepat habis.,kaktus tetap bisa hidup di gurun yang panas karena air disimpan di batangnya.,duri pada kaktus adalah adaptasi agar tumbuhan tetap bertahan di tempat kering.,https://www.omahbse.com/ktsp/file/sd-5_ipa_013/,43,60,79,6,10,lainnya,Mudah
