no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber
1,adaptasi makhluk hidup,adaptasi makhluk hidup,apa yang dimaksud dengan adaptasi?,proses penyesuaian diri makhluk hidup atau individu terhadap lingkungan dan perubahan kondisi atau tempat yang baru untuk bertahan hidup,kaktus mampu hidup di daerah kering karena memiliki ciri khusus.,adaptasi bertujuan mempertahankan hidup.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
2,adaptasi makhluk hidup,adaptasi makhluk hidup,apa pengertian adaptasi?,proses penyesuaian diri makhluk hidup atau individu terhadap lingkungan dan perubahan kondisi atau tempat yang baru untuk bertahan hidup,kaktus mampu hidup di daerah kering karena memiliki ciri khusus.,adaptasi bertujuan mempertahankan hidup.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
3,adaptasi makhluk hidup,adaptasi makhluk hidup,jelaskan adaptasi.,proses penyesuaian diri makhluk hidup atau individu terhadap lingkungan dan perubahan kondisi atau tempat yang baru untuk bertahan hidup,kaktus mampu hidup di daerah kering karena memiliki ciri khusus.,adaptasi bertujuan mempertahankan hidup.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
4,adaptasi makhluk hidup,bentuk kaki burung,mengapa bentuk kaki burung berbeda-beda?,perbedaan ini berkaitan dengan lingkungan serta cara memperoleh makanan.,itik memiliki kaki berselaput untuk berenang.,burung menyesuaikan bentuk tubuhnya dengan lingkungan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
5,adaptasi makhluk hidup,bentuk kaki burung,apa alasan bentuk kaki burung berbeda-beda?,perbedaan ini berkaitan dengan lingkungan serta cara memperoleh makanan.,itik memiliki kaki berselaput untuk berenang.,burung menyesuaikan bentuk tubuhnya dengan lingkungan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
6,adaptasi makhluk hidup,bentuk kaki burung,kenapa bentuk kaki burung berbeda-beda?,perbedaan ini berkaitan dengan lingkungan serta cara memperoleh makanan.,itik memiliki kaki berselaput untuk berenang.,burung menyesuaikan bentuk tubuhnya dengan lingkungan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
7,adaptasi makhluk hidup,bentuk paruh burung,mengapa bentuk paruh burung tidak sama?,bentuk tersebut menyesuaikan jenis makanan yang dikonsumsi.,elang memiliki paruh tajam untuk mengoyak daging.,bentuk paruh membantu burung memperoleh makanan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
8,adaptasi makhluk hidup,bentuk paruh burung,apa alasan bentuk paruh burung tidak sama?,bentuk tersebut menyesuaikan jenis makanan yang dikonsumsi.,elang memiliki paruh tajam untuk mengoyak daging.,bentuk paruh membantu burung memperoleh makanan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
9,adaptasi makhluk hidup,bentuk paruh burung,kenapa bentuk paruh burung tidak sama?,bentuk tersebut menyesuaikan jenis makanan yang dikonsumsi.,elang memiliki paruh tajam untuk mengoyak daging.,bentuk paruh membantu burung memperoleh makanan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
10,adaptasi makhluk hidup,mulut serangga,apa contoh penyesuaian diri pada serangga untuk memperoleh makanan?,mulut serangga berbeda bentuk sesuai jenis makanannya.,nyamuk memiliki mulut penusuk dan pengisap.,serangga menyesuaikan alat mulutnya dengan makanan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
11,adaptasi makhluk hidup,mulut serangga,bagaimana penyesuaian diri serangga untuk memperoleh makanan?,mulut serangga berbeda bentuk sesuai jenis makanannya.,nyamuk memiliki mulut penusuk dan pengisap.,serangga menyesuaikan alat mulutnya dengan makanan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
12,adaptasi makhluk hidup,mulut serangga,sebutkan contoh penyesuaian diri serangga dalam memperoleh makanan!,mulut serangga berbeda bentuk sesuai jenis makanannya.,nyamuk memiliki mulut penusuk dan pengisap.,serangga menyesuaikan alat mulutnya dengan makanan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
13,adaptasi makhluk hidup,bunglon,bagaimana bunglon melindungi diri?,hewan ini mengubah warna tubuh sesuai lingkungan.,bunglon tampak cokelat ketika berada di batang pohon cokelat.,perubahan warna tubuh membuat bunglon tersamarkan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
14,adaptasi makhluk hidup,bunglon,dengan cara apa bunglon melindungi diri?,hewan ini mengubah warna tubuh sesuai lingkungan.,bunglon tampak cokelat ketika berada di batang pohon cokelat.,perubahan warna tubuh membuat bunglon tersamarkan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
15,adaptasi makhluk hidup,bunglon,seperti apa proses bunglon melindungi diri?,hewan ini mengubah warna tubuh sesuai lingkungan.,bunglon tampak cokelat ketika berada di batang pohon cokelat.,perubahan warna tubuh membuat bunglon tersamarkan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
16,adaptasi makhluk hidup,kalajengking,bagaimana kalajengking melindungi diri?,hewan ini menggunakan sengat beracun.,sengat kalajengking dapat mengusir musuh.,beberapa hewan memakai racun sebagai alat perlindungan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
17,adaptasi makhluk hidup,kalajengking,dengan cara apa kalajengking melindungi diri?,hewan ini menggunakan sengat beracun.,sengat kalajengking dapat mengusir musuh.,beberapa hewan memakai racun sebagai alat perlindungan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
18,adaptasi makhluk hidup,kalajengking,seperti apa proses kalajengking melindungi diri?,hewan ini menggunakan sengat beracun.,sengat kalajengking dapat mengusir musuh.,beberapa hewan memakai racun sebagai alat perlindungan.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
19,adaptasi makhluk hidup,cecak dan cumi-cumi,sebutkan cara cecak dan cumi-cumi melindungi diri!,cecak memutuskan ekor sementara cumi-cumi menyemburkan tinta.,cumi-cumi mengeluarkan tinta agar musuh tidak melihatnya.,hewan memiliki cara perlindungan yang berbeda-beda.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
20,adaptasi makhluk hidup,cecak dan cumi-cumi,bagaimana cecak dan cumi-cumi melindungi diri?,cecak memutuskan ekor sementara cumi-cumi menyemburkan tinta.,cumi-cumi mengeluarkan tinta agar musuh tidak melihatnya.,hewan memiliki cara perlindungan yang berbeda-beda.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
21,adaptasi makhluk hidup,cecak dan cumi-cumi,tuliskan cara cecak dan cumi-cumi melindungi diri!,cecak memutuskan ekor sementara cumi-cumi menyemburkan tinta.,cumi-cumi mengeluarkan tinta agar musuh tidak melihatnya.,hewan memiliki cara perlindungan yang berbeda-beda.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
22,adaptasi makhluk hidup,tumbuhan adaptif,sebutkan contoh tumbuhan yang beradaptasi pada lingkungan kering atau air!,contohnya kaktus jati teratai serta eceng gondok.,kaktus berdaun kecil seperti duri untuk mengurangi penguapan.,tumbuhan juga menyesuaikan diri dengan tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
23,adaptasi makhluk hidup,tumbuhan adaptif,apa contoh tumbuhan yang beradaptasi pada lingkungan kering atau air?,contohnya kaktus jati teratai serta eceng gondok.,kaktus berdaun kecil seperti duri untuk mengurangi penguapan.,tumbuhan juga menyesuaikan diri dengan tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
24,adaptasi makhluk hidup,tumbuhan adaptif,tuliskan contoh tumbuhan yang hidup di lingkungan kering atau air!,contohnya kaktus jati teratai serta eceng gondok.,kaktus berdaun kecil seperti duri untuk mengurangi penguapan.,tumbuhan juga menyesuaikan diri dengan tempat hidupnya.,https://www.omahbse.com/ktsp/file/sd-5_ipa_002/
25,adaptasi makhluk hidup,penyesuaian hewan untuk bertahan hidup,kenapa hewan perlu menyesuaikan diri dengan lingkungannya?,"hewan perlu menyesuaikan diri agar bisa bertahan hidup, mendapatkan makanan, dan melindungi diri dari perubahan lingkungan. setiap hewan memiliki bentuk tubuh atau perilaku yang membantu mereka hidup di tempat tertentu.",pinguin memiliki bulu tebal dan lapisan lemak di bawah kulit sehingga tidak kedinginan saat hidup di daerah kutub yang sangat dingin. hal ini menunjukkan bahwa tubuh hewan memang menyesuaikan diri dengan tempat hidupnya supaya tetap bisa bertahan walaupun kondisi lingkungan berubah.,"hewan perlu menyesuaikan diri dengan lingkungan agar dapat bertahan hidup. adaptasi membantu hewan mendapatkan makanan, melindungi diri dari bahaya, dan tetap hidup meskipun kondisi habitat berbeda-beda.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
26,adaptasi makhluk hidup,penyesuaian hewan untuk bertahan hidup,apa alasan hewan perlu menyesuaikan diri dengan lingkungannya?,"hewan perlu menyesuaikan diri agar bisa bertahan hidup, mendapatkan makanan, dan melindungi diri dari perubahan lingkungan. setiap hewan memiliki bentuk tubuh atau perilaku yang membantu mereka hidup di tempat tertentu.",pinguin memiliki bulu tebal dan lapisan lemak di bawah kulit sehingga tidak kedinginan saat hidup di daerah kutub yang sangat dingin. hal ini menunjukkan bahwa tubuh hewan memang menyesuaikan diri dengan tempat hidupnya supaya tetap bisa bertahan walaupun kondisi lingkungan berubah.,"hewan perlu menyesuaikan diri dengan lingkungan agar dapat bertahan hidup. adaptasi membantu hewan mendapatkan makanan, melindungi diri dari bahaya, dan tetap hidup meskipun kondisi habitat berbeda-beda.",https://www.omahbse.com/ktsp/file/sd-5_ipa_013/
