no,topik,subtopik,soal,jawaban,contoh,konteks,link_sumber
1,peristiwa alam,peristiwa alami dan akibat manusia,apa yang membedakan peristiwa alam alami dan akibat kegiatan manusia.,peristiwa alam terjadi karena proses alami bumi sementara akibat kegiatan manusia dipicu oleh tindakan manusia.,banjir dapat diperparah oleh sampah yang menyumbat saluran air.,tidak semua peristiwa alam terjadi karena alam semata.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
2,peristiwa alam,peristiwa alami dan akibat manusia,bagaimana perbedaan peristiwa alam alami dan akibat kegiatan manusia.,peristiwa alam terjadi karena proses alami bumi sementara akibat kegiatan manusia dipicu oleh tindakan manusia.,banjir dapat diperparah oleh sampah yang menyumbat saluran air.,tidak semua peristiwa alam terjadi karena alam semata.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
3,peristiwa alam,peristiwa alami dan akibat manusia,jelaskan perbedaan peristiwa alam alami dan akibat kegiatan manusia.,peristiwa alam terjadi karena proses alami bumi sementara akibat kegiatan manusia dipicu oleh tindakan manusia.,banjir dapat diperparah oleh sampah yang menyumbat saluran air.,tidak semua peristiwa alam terjadi karena alam semata.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
4,adaptasi makhluk hidup,adaptasi makhluk hidup,kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya disebut.,adaptasi adalah kemampuan makhluk hidup untuk menyesuaikan diri dengan lingkungannya.,adaptasi membantu survival makhluk hidup,adaptasi terjadi dalam waktu lama,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
5,adaptasi makhluk hidup,adaptasi makhluk hidup,proses penyesuaian diri makhluk hidup terhadap kondisi lingkungan bernama.,adaptasi adalah proses penyesuaian diri makhluk hidup terhadap kondisi lingkungan.,adaptasi melalui seleksi alam,adaptasi adalah kunci kelangsungan hidup,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
6,adaptasi makhluk hidup,adaptasi makhluk hidup,kemampuan yang memungkinkan makhluk hidup bertahan di habitat alami mereka adalah.,adaptasi adalah kemampuan yang memungkinkan makhluk hidup bertahan di habitat alami mereka.,makhluk hidup beradaptasi atau punah,adaptasi terjadi dalam populasi,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
7,adaptasi makhluk hidup,adaptasi fisik,apa itu adaptasi fisik hewan terhadap lingkungan?,"adaptasi fisik: unta memiliki punuk untuk menyimpan air, ikan memiliki sirip untuk berenang, burung memiliki sayap untuk terbang, gajah memiliki telinga besar untuk mendingin.",kamu pasti pernah lihat: setiap hewan berkembang berbeda sesuai lingkungannya.,penting: adaptasi menunjukkan keajaiban proses evolusi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_012/
8,adaptasi makhluk hidup,adaptasi fisik,bisa jelaskan tentang adaptasi fisik hewan terhadap lingkungan?,"adaptasi fisik: unta memiliki punuk untuk menyimpan air, ikan memiliki sirip untuk berenang, burung memiliki sayap untuk terbang, gajah memiliki telinga besar untuk mendingin.",setiap hewan berkembang berbeda sesuai lingkungannya.,adaptasi menunjukkan keajaiban proses evolusi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_007/view/
9,adaptasi makhluk hidup,adaptasi fisik,berikan contoh adaptasi fisik hewan terhadap lingkungan!,"adaptasi fisik: unta memiliki punuk untuk menyimpan air, ikan memiliki sirip untuk berenang, burung memiliki sayap untuk terbang, gajah memiliki telinga besar untuk mendingin.",setiap hewan berkembang berbeda sesuai lingkungannya.,adaptasi menunjukkan keajaiban proses evolusi.,https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
10,adaptasi makhluk hidup,adaptasi fisik,jelaskan hewan terhadap lingkungan!,"adaptasi fisik: unta memiliki punuk untuk menyimpan air, ikan memiliki sirip untuk berenang, burung memiliki sayap untuk terbang, gajah memiliki telinga besar untuk mendingin.","misalnya, setiap hewan berkembang berbeda sesuai lingkungannya.","ingat ya, adaptasi menunjukkan keajaiban proses evolusi.",https://www.omahbse.com/ktsp/file/sd-5_ipa_001/
